Word, wordscore
Baran,9.0
Ging,8.0
Gekijouban,10.0
Money,6.644004869495066
fichissimi,5.0
Barah,5.0
Voskhozhdeniye,9.0
metabolism,6.0
Danger,6.5227272727272725
Began,6.882352941176471
Deine,7.0
Lempreinte,7.0
Sessions,7.440677966101695
Harolds,7.666666666666667
Dealin,6.333333333333333
Karla,4.0
ignoranti,8.0
cauchemar,6.5
Barda,10.0
Upon,6.6811965811965806
Married,6.01031746031746
Crossing,7.175000000000001
Renee,6.0
Krishna,5.0
Eva,6.5
No.7,9.222222222222221
Ones,7.418516355140187
Eve,7.263659147869674
Jovens,6.3
Etz,7.333333333333333
prix,6.6
violenta,5.0
minutter,7.0
Bizim,7.0
Painajainen,1.0
Ett,10.0
Pamplona,9.0
Sinbad,7.866666666666667
Ishqiya,7.5
hasha,10.0
Follies,8.0
Scout,6.136363636363637
Eyvah,7.333333333333333
Gise,5.0
Mondo,4.0
Barfi,8.391304347826086
iru,7.0
9/11,7.5
Kaazhcha,8.0
Material,9.11111111111111
iro,3.0
isi,7.0
Girl,7.0392410680047774
Karoo,8.0
Biblioth�que,7.5
Once,6.897410662116544
Airbender,5.551724137931035
Karol,6.5
Demented,6.0
Scots,9.0
Scott,7.939759036144581
Rapture-Palooza,5.333333333333333
Drog�wka,6.0
Guadalcanal,8.0
Noobz,7.125
Such�mubi,9.0
Scum,7.125
Hilarious,8.0
Lakposhtha,8.222222222222221
Sherlock,6.4786211258697035
Cajun,6.5
Pathology,5.2
Benvenuto,6.75
Gymnasl�rer,6.0
Players,7.0
zero,6.466666666666667
Muppets,8.09404761904762
Benvenuti,6.0
Exhibit,7.0
Hasret,7.0
Sneakers,7.8
Naalu,4.0
Weight,5.5
Jiseul,6.0
Ein,6.25
Arrival,4.3
Dancin,8.0
Hostel,6.033653846153847
J�ryoku,7.0
lnger,5.0
Cleanskin,6.315789473684211
Mindscape,8.0
Lionheart,6.25
Hidden,6.305555555555556
Lughnasa,8.0
Ehe,8.0
Eugene,7.0
Navigator,8.541666666666668
Reversal,7.5
Dolittle,5.833333333333334
Fucking,6.866666666666667
Gintama,10.0
Snogging,7.0
Give,6.763813594662219
Abbotts,7.0
Elf,7.520833333333333
Lours,8.0
brylluppet,8.166666666666668
ninjatroppen,4.0
Ekk,5.0
proi,6.0
Haunter,6.394736842105263
Loura,7.0
Haunted,5.80820695807315
Miralda,7.0
Collection,6.149425287356322
Otona,9.0
Celeste,6.941176470588235
Reloaded,8.52857142857143
Dangerous,7.144412878787879
Poppins,8.45945945945946
drap,8.0
Tomar,7.0
K�rlighed,7.0
Poorer,7.0
Pulling,7.833333333333334
Papita,5.666666666666667
Brestskaya,7.75
violenza,8.0
Confidence,7.333333333333333
End,6.687046706216474
Bagger,7.25
Vintners,9.0
Remember,7.642988982013373
Zero,6.753157464536202
Agnes,10.0
Azhiyatha,6.0
Babysitting,8.5
Magnum,7.875
Onna,6.833333333333334
Lakes,7.0
bitteren,10.0
Chronicle,7.166666666666667
Dancer,7.15
Lakey,7.0
Honey,6.066666666666666
Triumph,6.5
masnaa,9.0
Afters,6.0
Turistas,6.0
Fucked,10.0
suru,9.0
Only,7.056859583486351
voladores,6.0
Uncertainty,4.0
g�zel,8.0
Zendegi-e,3.0
calavera,8.0
Ob�lix,6.416666666666666
Eli,7.203389830508475
Elm,5.986979259789022
Anomali,6.333333333333333
Puffy,7.2
Foxes,8.5
Original,7.906666666666668
Tagebuch,9.0
Orphan,7.3023255813953485
cerise,6.0
Narradores,8.0
makina,7.0
ugoku,8.512820512820513
Topsy-Turvy,10.0
Unicorn,6.333333333333333
Dances,6.888888888888889
Climate,10.0
macchina,10.0
Enu,7.0
Chichi,8.0
OClock,8.766666666666667
Enn,7.0
Hellfighters,7.5
Keith,5.863492063492064
liikemaailmassa,7.0
Philomena,7.978328173374615
Fleet,6.927083333333334
Stromboli,8.333333333333334
Phasee,6.777777777777778
Cross,6.185897435897436
Gorko,6.888888888888889
kiz,7.0
Busy,9.0
Frankie,6.866666666666667
Bust,7.0
Louis,7.595238095238095
Shell,7.583333333333333
Rings,8.304984892548175
Ringu,7.0
Joneses,6.5
Isso,9.0
Kommand?r,4.0
impresa,6.333333333333333
Firefox,7.666666666666667
Farmers,5.5
Andersen.,6.0
giovent�,9.0
Muriels,7.333333333333333
Lobola,6.5
Butt,6.0
Parterapi,3.0
viaja,10.0
suoi,10.0
Bulldog,5.0
Warning,5.125
s�p�,10.0
Bethlehem,7.0
Chauffeur,6.0
Patch,9.0
Illusions,4.375
Nnoho,8.0
Dahlia,5.944444444444444
Rawhead,4.5
Kontroll,5.0
Norowareta,8.0
Draughtsmans,9.0
Grease,7.282467532467533
Svecenikova,3.0
Pranzo,5.0
Himmel,7.388888888888889
objet,7.5
Rhine,10.0
Stonewall,9.0
Geu,8.0
Chevalier,8.857142857142858
Get,7.074489041260537
Gen,9.5
Jeffrey,7.833333333333333
Addicted,6.666666666666667
Elvis,8.642857142857142
Taiwan,9.0
Nihon,6.5
Noose,7.5
Pointe,8.090909090909092
gattopardo,9.666666666666666
kyten,7.2
Lambs,8.012411347517732
olacak,8.0
Grupo,5.666666666666667
kei,6.0
Midsummer,7.083333333333334
Fouries,6.5
ken,7.0
Junpaku,6.0
coup,6.5
$20,4.0
Border,9.0
Outlaw,6.166666666666667
Crowd,7.5227272727272725
Tulip,8.0
Played,7.5
Crooked,10.0
cristal,6.0
Crown,5.258333333333333
Brokedown,7.0
Beslan,8.0
Honor,7.863478260869566
Creature,6.666666666666667
Crows,5.0
Paths,8.5
Larm�e,5.611111111111112
Desperadoes,6.0
Jayenge,8.666666666666666
U.S.A,9.0
Kurtulus,6.5
Fountain,8.095238095238095
Colditz,7.0
$5,7.0
Qi-Er,7.0
Rinne,6.0
salut,3.5
MASH,7.5
Manors,7.266666666666667
Shesh,9.0
Talaash,8.05
Mis�rables,8.535359272933817
Gin,6.0
p�,7.2
Meat,3.555555555555556
X-Ray,10.0
Shah-re,7.5
Git,7.0
Comandante,7.0
suis,7.0
Flightplan,6.8
Mean,6.857072829131652
Hustler,8.875
Chickadee,2.0
Kuchu,7.5
Mubeopja,4.0
Tonto,8.333333333333334
InchAllah,7.666666666666667
Sheitan,8.0
waak,4.0
Meeting,5.333333333333333
Himself,9.0
Phasma,6.0
Jagged,7.0
Scar,9.0
hemlighet,6.0
Mubangbi-dosi,7.0
Sightseers,6.979591836734694
diables,8.0
Burrowers,4.0
fundo,7.0
+1,5.777777777777778
Ziemia,8.0
Sizzles,9.0
Ro-maen-seu,8.0
Kaspar,9.0
Soi-l�t-daa-laen,2.0
Player,7.888888888888888
Elefante,5.833333333333333
Sensation,8.0
jet�e,9.0
Andromeda,8.0
ykoso,8.0
Zugarramurdi,6.647058823529412
Isle,5.309523809523809
Ulisse,7.0
Karen,5.0
koi,10.0
Waves,7.75
Maskerade,4.0
koe,8.5
Dunham,10.0
Indig�nes,8.0
Whorehouse,9.0
Magic,7.421272801272801
seinaru,8.0
Ne-beu-en-ding-seu-to-ri,8.0
Capsule,6.0
Killshot,6.8
Extremely,7.035106382978723
Nebraska,8.008498583569406
RocknRolla,7.54054054054054
Attr,7.162962962962962
Qissa,8.0
deserto,9.0
soigne,7.0
tigre,7.4
Penelope,6.5
douce,7.0
Zavallilar,9.0
Shutter,7.480978260869564
Tarnation,8.0
Gertrud,9.5
Boksuneun,6.833333333333333
.7,2.0
dalle,6.666666666666667
Changsoo,4.0
dalla,1.0
eres,2.0
Watchmen,7.883116883116885
Breathless,6.0
Cooley,8.5
Chugyeogja,7.857142857142857
Cooler,8.0
Burning,7.8583333333333325
Creole,5.0
suda,8.0
EuroTrip,7.0
Borealis,7.0
Breaking,6.56641651031895
Casanova,7.375
Chest,6.904255319148936
Albino,6.0
Waydowntown,9.0
Chess,6.615384615384615
Persepolis,8.4375
Cleanflix,8.0
Warlock,5.0
verano,6.0
Hitchhikers,7.633333333333334
Youngistaan,6.0
Gap,7.0
Gan,10.0
Flamingos,7.25
largas,7.909090909090909
Highlander,4.475
Gay,4.666666666666667
Hist�ria,10.0
Gaw,7.0
Onigamiden,6.0
Dabba,7.866666666666666
Strings,6.609195402298851
Winterbourne,10.0
Needs,7.9
--,5.0
Tulpa,4.0
D�as,6.0
suay,9.0
Dabbe,7.5
Tirador,10.0
Special,7.755050505050505
zhuan,6.0
Fut,8.0
36,7.5
33,6.777777777777778
39,6.091428571428572
Fur,7.0
38,5.0
43,4.258883248730961
Gabriel,7.5
42,7.780844155844151
40,6.103940630153633
klev,7.222222222222222
Nema-ye,9.6
Dungeon,5.0
3D,5.4867666834920055
Clinic,5.666666666666667
Maxima,7.0
3G,2.0
Haeundae,6.0
Trois,7.573039215686276
22,5.0
Blackmail,8.0
Believer,8.375
23,7.447916666666667
24,6.0555555555555545
25,8.0
26,6.0
27,7.5
28,7.625555555555556
Campaign,6.084033613445376
bord,5.0
Fun,5.391673628515734
Fuk,4.5
Buck,6.96875
30,5.760651629072682
Gleaming,8.0
32,4.0
31,5.5
Cheer,7.0
Higher,8.166666666666668
19,5.036363636363635
17,8.125159642401021
nette,2.0
18,5.5
15,5.833333333333333
16,6.6875
Ambassadors,10.0
13,7.271103481438016
14,7.5
11,7.875
12,6.9021896779661756
21,7.301593901593902
20,6.51111111111111
Um...,5.0
Ikigami,9.0
Evans,4.0
abrazos,7.555555555555555
Lamant,8.666666666666666
Pokemon,9.333333333333334
Hooch,6.7
sengo,8.0
Hoods,10.0
boss,6.0
Fry,8.0
05,10.0
juk,6.25
Lotus,7.0
Dumber,8.465116279069768
Doghouse,5.5
10,6.261148046442164
Gambling,6.0
danchi,6.0
Dekigokoro,9.0
Assumption,7.666666666666667
Itim,7.0
79,7.0
77,6.0
Troll,5.909090909090909
proph�te,8.25
ferragosto,5.0
Fletch,7.166666666666666
80,5.866666666666667
Cuore,7.0
Chithiram,8.0
84,8.5
Current,9.0
66,7.5
69,7.5
orsi,6.0
68,10.0
Anchors,10.0
Todays,8.0
Believin,7.5
Outpost,5.722222222222222
bout,7.531944444444445
Atla,8.5
senki,6.666666666666667
Babaing,5.0
Lotta,5.0
Trespass,5.403846153846153
Slither,6.1875
73,7.0
Bugs,7.785714285714286
princes,7.0
Moody,4.0
57,7.0
56,5.5
Playback,4.5
Cellar,3.0
Karenina,6.442622950819672
Warriors,5.886160714285714
Ator,1.0
Kingu,7.666666666666667
Willard,7.5
Kings,7.49946279065053
Borgman,7.45
64,8.0
Upstream,8.10576923076923
62,7.0
Cristiada,9.0
60,7.644444444444445
61,10.0
voyages,6.5
Minister,8.0
49,6.857142857142857
Ooga,4.0
48,7.3125
45,8.222222222222223
spenti,5.0
44,8.0
47,6.63323782234957
46,6.6
Bienvenue,6.055555555555555
Today?,8.0
Br�no,6.428571428571429
Houseguest,7.0
4D,6.8
Petropolis,10.0
4E,6.5
Tatar,10.0
51,6.583333333333334
fantomu,6.0
52,8.0
Unfortunate,7.823529411764706
lyudey,7.0
54,6.625
Soekarno,8.0
goong,7.0
50,3.0641891891891895
damat,7.0
Hobo,6.115384615384615
Sheep,5.0
espinazo,7.636363636363637
Bull,8.114814814814816
D�moni,5.8125
Ghte,8.0
Tropa,8.188311688311686
osvetleni,6.0
tracce,8.0
Bulb,9.0
Bula,2.0
Skull,7.0588235294117645
Talaye,9.0
Hassel,1.0
Karega...,4.0
Wassup,6.0
Z�ro,8.0
Mogura,6.0
kau,6.25
Sultanes,5.0
Highland,5.5
Yolki,4.5
kao,9.0
Starlet,7.363636363636363
Royale,7.9
Hoax,7.15
kai,7.0
Fly,6.5395408163265305
Broomsticks,8.0
crociate,7.0
ware,9.0
-2012,6.0
boia,5.0
pu�,8.0
Iguana,8.0
Kehna,6.5
Bunnyman,4.0
traces,8.0
wang,7.416666666666667
Atlantide,9.0
Pr�te-moi,7.0
Pacific,7.335052549630206
Zivot,8.666666666666666
Buna,6.0
99,6.875
d�a,5.611111111111111
Pounds,8.02898550724638
Teddy,8.333333333333334
97,4.0
96,5.8
Superbabies,4.4
93,8.150000000000002
92,9.146341463414634
Foster,8.65
Congress,6.714285714285714
90,7.0
Ville,10.0
Lunch,6.214285714285714
Taste,7.0
Johnson,8.25
brani,7.0
Villa,7.333333333333333
Jeepers,6.910714285714286
Spiklenci,8.0
Troop,7.0
Moore,6.0
Englishman,7.333333333333333
Monsters,5.937696130907228
orme,7.0
88,5.7
Emulsion,5.0
Dillo,7.0
rower,7.0
Dilli,5.333333333333333
Fri,5.5
Cousin,7.095238095238095
Chnouf,6.0
nyomoz�,7.0
Chinjeolhan,7.6923076923076925
GSP,8.0
kenka-tabi,5.0
Midnight,6.420535902087808
Roadie,5.0
Species,5.0
Cheap,7.266666666666667
kaidan,6.666666666666667
Cheba,6.0
Cheat,4.0
l�mites,8.0
Burt,6.035087719298246
Filantropica,7.0
24�th,8.0
Larzac,7.0
GRA,5.666666666666667
slagtere,8.333333333333334
Itch,7.5
-2007,6.142857142857143
Klowns,4.333333333333333
Vittoria,9.0
Tattooist,4.0
Charade,7.75
Proven,5.0
Detail,8.0
Foo,8.2375
orchestre,7.0
T�r,7.666666666666667
For,7.781587301587303
Insignificance,7.5
Burn,7.025510204081632
Fox,7.29074074074074
Correspondent,7.333333333333333
Demonwarp,5.0
Moons,3.0
Check,5.666666666666666
Wonderstone,6.035087719298246
Undershepherd,8.0
Visitors,8.0
Goyband,4.0
Ghanchakkar,4.833333333333333
cuervos,7.0
Huilen,7.0
Foe,7.0
Solyaris,8.0
Children,7.4163007518796995
Fog,7.507142857142857
saintet�,8.0
Voyna,7.0
hatar,8.1025641025641
Pervert,5.0
Ates,8.0
H20,5.333333333333333
Leones,3.6666666666666665
Spectacular,7.431372549019608
boon,7.0
Englishmen,9.0
dellisola,4.0
Faustrecht,9.0
Psycho,6.272278528528529
lenfer,6.0
Hogs,6.2
Douce,7.5
Da,6.02136524822695
huiti�me,8.5
Lessmore,9.0
Satsujin,6.5
Armored,5.4
fuori,4.0
Ozploitation,7.0
vesanje,8.25
xiang,7.0
Hoge,7.0
Cr,4.0
Adaptation.,7.72972972972973
tanuki,7.666666666666666
Hoga,6.0
Quindicipalle,6.0
Poulet,7.6923076923076925
Ce,6.833333333333333
Datang,5.0
Splice,5.64
Pratap,7.0
Ci,6.0
DJ,8.0
Ed,5.170454545454545
Du,8.31904761904762
Contemporary,6.0
g�ng,6.0
Do,7.539243806532623
Softly,5.214147286821706
Pusinky,10.0
F.,8.4
Used,7.125
Saigo,5.0
De,7.015934065934066
Rabbit,8.030882352941177
Necessary,8.256377551020408
Di,6.6
g�mu,9.0
Learnings,7.809523809523809
C�rculo,7.5
Heartbreak,7.5
Marcel,7.0
Godheten,10.0
Shinkansen,7.0
Fa,8.619047619047619
Everymans,8.25
carabinieri,3.0
Eu,7.25
Escort,1.0
Ev,5.0
Ex,5.5
Er,5.25
Ah�,4.0
Et,7.3181818181818175
Boomerang,7.4
Es,8.0
beraca,7.0
En,6.417271407837446
Em,7.6466666666666665
Hidalgo,5.4
El,6.611072261072262
Ek,6.2
Ee,6.0
Agora,7.7142857142857135
Himmatwala,5.0
Place,7.075013561041289
Kannikoodi,6.0
Cavallette,10.0
Odnoklassniki.ru,7.0
Wrath,5.594724556489262
stil,6.25
Ssa-woom,7.0
Fu,7.497142857142856
Mermaid,8.961538461538463
Lanes,6.714285714285714
H3,3.0
GO,3.5
Cleaner,5.142857142857142
GG,9.0
Hold,6.2
hao,7.0
hap,6.0
Kyurem,4.0
hai,7.166666666666667
Douga,6.5
Mannenharten,6.166666666666667
Kells,6.833333333333333
Populaire,7.344827586206897
gar�ons,6.75
har,9.0
Bergdorfs,6.666666666666667
Kelly,5.979166666666667
cielo,7.083333333333333
dOrph�e,6.0
Dougs,8.0
Heartburn,9.0
Coraz�n,4.5
Thompsons,5.75
Saibi,6.0
Home,6.676095151353385
Stuart,5.833333333333333
Holy,6.437835660580021
Dong-chang-saeng,7.0
Chocolate,5.852380952380952
Manakamana,6.0
Frittons,7.666666666666667
AD,4.0
Sweded,4.0
hay,6.857142857142857
AI,7.694444444444445
shuuketsu,10.0
III,6.435874042375226
Hole,7.575294117647059
B.,6.5
AM,10.0
Av,9.0
Au,6.583333333333333
Kauas,7.5
Antiviral,6.194444444444445
At,6.931818181818182
Agony,8.0
As,6.5810564663023685
Ba,7.5
Alvin,4.25
Ay,4.888888888888889
Ae,7.25
tarina,9.0
Kundun,8.0
Ah,7.5
BB,7.0
Aa,4.5
BC,4.5
Ab,4.0
Nightbreed,7.0
Rileys,7.1
Jiang,7.25
Ad,7.0
Am,7.557594154304679
An,7.161817442592367
Ao,6.25
eurent,9.0
Ai,7.916666666666667
Brokeback,8.176470588235295
Al,7.735772357723577
catinelle,6.818181818181818
By,8.195833333333333
Timofey,8.0
Medium,10.0
Hit,6.758333333333333
His,6.65093537414966
Bu,5.75
ouchi,6.0
Robbersons,8.0
oficial,8.5
Chongs,6.0
DC,8.125
vacanze,10.0
Hangover,6.904601405193296
Terrace,7.2615384615384615
espagnole,7.75
Pythons,6.0
Platoon,8.382352941176473
Be,7.347255352104318
vacanza,7.0
Colin,1.0
D2,6.7
D3,6.0
Bo,6.333333333333334
Hoje,10.0
Terrorist,10.0
Him,6.625
voglio,7.3
Vinyl,7.428571428571429
D.,9.5
D-,1.0
Hip,6.9
manura,7.0
Ku,3.6666666666666665
Hoon,5.125
Twentynine,6.0
Hook,5.6875
M.,7.5
Remagen,8.0
IDA,8.0
Hoop,9.125
Le,7.539146295073284
tumane,5.0
Li,6.388888888888889
het,6.625
Earthling,4.0
Wreckers,8.0
Hope,7.396000000000001
Hyeol-eui-noo,6.0
Leonard,7.5
hen,8.38888888888889
La,7.276378515635383
Nattvardsgsterna,9.333333333333334
Electronic,3.0
Gould,8.0
Do-Deca-Pentathlon,7.0
Lo,7.653739612188365
Prisoner,7.963675213675213
rivi�res,7.166666666666667
Antisocial,1.0
Color,7.016610105580694
Me,7.125175769456711
Plaid,7.0
Loubia,4.0
Beynelmilel,8.0
Escapee,10.0
Mi,5.5
Colpi,4.5
cerca,10.0
Badmaa$h,6.333333333333333
AVPR,5.0
Meia-Noite,6.0
Plain,4.3
Malibus,4.5
Ma,7.708333333333334
Church,3.3333333333333335
Perdita,7.25
Surfer,6.493371212121212
Daniel,6.875
Gilda,6.6
Benefit,7.809523809523809
Memoria,10.0
My,7.270731584811364
Baraka,8.882352941176471
Blowout,9.0
Homo,4.0
Mr,7.0
Mo,7.333333333333333
Siddhartha,7.5
Mn,8.1025641025641
She-Devils,10.0
P.,7.5
Ni,7.0
Says,7.083333333333334
Replicant,10.0
Ne,6.644736842105263
Rains,5.5
Survivors,7.666666666666667
Na,6.7727272727272725
lamore,7.857142857142857
Leland,7.333333333333333
Rails,7.5
Logorama,8.0
Eulogy,8.0
Nr,8.0
Nu,7.0
No,6.747355649724411
P2,6.5
cuisse,8.0
Hex,5.375
Ol,6.4
Trasgredire,6.0
Om,8.0
Niemeyer,8.0
On,7.837875773937156
Megaforce,9.5
Oh,8.1325
Oi,9.0
Hey,7.25
Decline,8.0
Kelin,6.0
Of,8.235690235690235
Hes,6.961538461538462
Standing,6.6875
Signs,8.136363636363637
Het,5.556565656565656
Callar,5.666666666666667
Hood,7.564896149838605
Her,7.340842212837583
interior,8.0
�Vivan,1.0
Host,5.83786152497809
Tooth,4.6
Dieter,10.0
Go,6.854215142496392
Gu,7.25
Tonight,6.696969696969696
Mandela,7.710743801652892
Dast-Neveshtehaa,4.0
Hota,8.0
Ha,7.1974043715847
N-Secure,2.0
Cazale,8.0
He,7.090909090909091
Maachis,8.0
II,6.427413526420611
Hi,5.0
Battlefield,1.65
Vanakkam,7.0
J.,6.861538461538461
Raise,4.0
Nekromantik,4.0
Ho,6.574404761904763
Felafel,7.0
Episodes,8.0
Hr,9.0
Shelter,7.746917562724014
IT,8.0
IV,6.397927170868347
Afghan,7.0
Hominis,6.0
Landed,8.0
Kinky,7.142857142857143
Network,8.110936799641417
If,7.9367897727272725
lumi�re,6.5
Summit,6.5
Io,6.938392857142857
CM101MMXI,9.666666666666666
K2,8.0
Ip,5.266666666666667
Im,7.518859649122806
Kinng,6.5
In,6.907898703276339
Il,7.345875591615956
K.,5.5
Mess,5.454545454545455
Ordinary,7.424242424242425
Called,7.18954248366013
Newcastle,6.333333333333333
Is,7.487786786213876
It,7.437375121509578
Ja,5.0
meteoro,9.0
Innocence,7.721719457013575
Ji,6.333333333333333
KJ,6.0
Je,6.1
Modify,8.0
�i�ek,6.0
Jo,6.625
Haebyeonui,4.5
Hors,7.733333333333333
golyam,7.0
Strapped,6.5
KL,7.0
Horn,8.333333333333334
Had,7.833333333333333
Doubt,6.693150046598323
Hae,8.0
Hal,6.333333333333333
Ooze,5.75
Hak,7.0
Caller,6.0
Ka,5.666666666666667
Mafia,6.703703703703703
Strangeland,8.0
Hai,7.789166666666667
sheita,7.0
Han,8.0
Bruiser,5.0
Hat,7.933333333333334
Has,6.886593591905565
Har,4.0
Ki,5.2125
Polyester,10.0
Ke,5.816666666666666
Condition,6.0
Us,7.481862383675748
VS,8.0
Sight,5.736111111111111
Steekspel,5.0
Dreaded,6.333333333333333
Up,6.587743520781279
Um,8.0
Un,6.894075369075368
W.,5.9375
VJ,8.333333333333334
Mere,6.85
VI,7.475
Metropolitan,9.0
H�lgyeim,8.0
Rosewood,7.333333333333333
Mankind,5.75
