Word, wordscore, occurrence
dames,7.0, 1.0
Silsila,5.0, 1.0
Loved,7.623355263157895, 2.0
mudo,5.0, 1.0
Silsile,8.0, 1.0
Junction,7.7, 2.0
Duchess,7.083333333333333, 1.0
Starman,8.5, 1.0
Monty,7.327935222672064, 3.0
jai,7.0, 2.0
Teen,6.782407407407407, 6.0
Lover,6.0, 1.0
Loves,6.066666666666666, 3.0
basho,7.0, 1.0
Cajas,8.0, 1.0
Frayed,7.0, 1.0
Romans,5.5, 1.0
317�me,9.0, 1.0
Snowball,6.0, 1.0
Monte,8.287698412698411, 3.0
�tertrffen,7.142857142857143, 1.0
5ecret,8.5, 1.0
Gentlemens,5.0, 1.0
Prayers,8.0, 1.0
Teds,6.5, 2.0
Soldado,6.0, 1.0
Rakudai,8.0, 1.0
Zeit,8.5, 2.0
retour,6.5, 2.0
[REC]?,4.85, 1.0
Twister,7.125, 1.0
Flutter,10.0, 1.0
Gunday,3.7058823529411766, 1.0
Twisted,7.666666666666667, 3.0
Bedroom,7.583333333333333, 2.0
Colored,8.0, 1.0
Tycoon,10.0, 1.0
Journeys,7.0, 1.0
Sleepers,8.419354838709676, 1.0
Tear,6.090909090909091, 1.0
Tumko,5.0, 1.0
Minnesota,5.0, 1.0
Trouble,7.220379818594104, 12.0
Sugar,7.213806706114399, 5.0
Fin,5.0, 1.0
Fim,7.5, 2.0
Rakenrol,5.0, 1.0
K�f,8.0, 1.0
Airways,5.5, 1.0
Hearts,7.208333333333334, 8.0
Tech,7.0, 1.0
Craigslist,8.0, 1.0
Raehat,10.0, 1.0
Pelham,7.779411764705882, 2.0
Zebra,8.0, 1.0
Besharam,5.75, 1.0
mireniamu,7.0, 1.0
Cyrus,8.452380952380953, 3.0
Fix,7.75, 2.0
Fukush�,9.0, 1.0
Eye,7.39250700280112, 17.0
Gift,7.3055555555555545, 3.0
conforme,7.8, 1.0
Hayatboyu,8.0, 1.0
isha,10.0, 1.0
Inhale,6.142857142857143, 1.0
Elektra,4.541666666666666, 2.0
Bowling,8.200000000000001, 1.0
Bondage,9.0, 1.0
dellOrsa...,8.0, 1.0
Hurrah,10.0, 1.0
Thunderdome,6.411764705882353, 1.0
Geschichte,7.357142857142858, 2.0
Gigi,6.333333333333333, 1.0
Bonnie,8.181818181818182, 1.0
Wasted,7.75, 1.0
Jap�n,7.0, 1.0
Browns,6.0, 1.0
allitaliana,8.375, 2.0
Direkt?ren,7.25, 1.0
Gar�on,6.0, 1.0
Glorious,6.404761904761905, 2.0
tu�,7.888888888888889, 1.0
honrada,6.5, 1.0
Anfang,8.0, 1.0
kantai,4.0, 1.0
baiser,8.0, 1.0
Darkman,6.181818181818182, 1.0
boys,3.0, 1.0
murs,7.5, 2.0
Bushwhacked,8.0, 1.0
Naveena,5.0, 1.0
Godiva,7.0, 1.0
Fandango,7.0, 1.0
Daikaij�,5.0, 1.0
piccola,6.333333333333333, 1.0
S�bastien,6.666666666666667, 1.0
Iris,7.25, 2.0
Linings,8.15205724508051, 1.0
Swiss,6.111111111111112, 3.0
Connecticut,6.161904761904762, 3.0
Love?,6.0, 1.0
�ogunluk,4.5, 1.0
piccolo,10.0, 2.0
Soldaat,8.0, 1.0
Somethin,8.0, 1.0
Confused,7.7368421052631575, 1.0
shitagaru,4.0, 1.0
Motels,5.0, 1.0
cheloveka,6.0, 1.0
Kills,7.362068965517241, 3.0
Dahmer,5.25, 2.0
Tillsammans,7.0, 1.0
d�cart,6.7, 1.0
jiu,8.333333333333334, 1.0
Kavvum,6.0, 1.0
Phoenix,6.454787234042554, 4.0
Really,9.0, 2.0
slasti,8.0, 1.0
jin,7.2, 2.0
o�,8.5, 1.0
Meaning,8.035087719298245, 1.0
jie,6.5, 3.0
Tell,7.297142857142856, 10.0
Andr�,4.0, 1.0
Leprechaun,5.333333333333333, 4.0
Rejects,6.7272727272727275, 1.0
Paura,7.5, 2.0
Eswed,5.0, 1.0
Nativity,5.057142857142857, 4.0
jia,7.175, 4.0
brazo,8.0, 1.0
Bonner,6.0, 1.0
R�cit,6.5, 1.0
Saving,6.685475613227908, 6.0
Brimstone,10.0, 1.0
Hoffmann,2.0, 1.0
Clockwatchers,6.0, 1.0
Iron,7.335453807011054, 16.0
detstvo,8.4, 1.0
vais,7.4, 1.0
andra,8.4, 1.0
Westwind,8.0, 1.0
Tampopo,7.5, 1.0
Lepel,8.0, 1.0
Biutiful,7.8, 1.0
Irma,7.75, 2.0
gamins,7.0, 1.0
Detoroito,7.0, 1.0
Slayer,7.185185185185186, 3.0
Mannen,8.0, 2.0
Super-Villains,8.25, 1.0
Sorcerers,7.252014652014654, 2.0
lapr�s-midi,7.0, 1.0
Blackbeards,7.0, 1.0
drug,9.0, 1.0
Kumaru,6.0, 1.0
Tommy,6.571428571428571, 2.0
Fat,6.819642857142857, 8.0
In-lyu-myeol-mang-bo-go-seo,7.333333333333333, 1.0
Dupree,5.714285714285714, 1.0
Fan,6.583333333333334, 2.0
Far,7.204761904761904, 7.0
Liquidificador,9.0, 1.0
Copycat,7.3, 1.0
Ti-kkeul-mo-a,8.0, 1.0
Skateboarders,4.0, 1.0
Ausgerechnet,6.0, 1.0
Artificial,7.694444444444445, 1.0
Birthdays,10.0, 1.0
Spiders,4.8, 2.0
Lovers,7.988025210084033, 7.0
Swedish,3.0, 1.0
Married?,10.0, 1.0
Skinning,5.0, 1.0
Erogotoshi-tachi,9.0, 1.0
Narayama-bushi,9.0, 1.0
daikosaten,7.0, 1.0
Is...,1.0, 1.0
Doodlebug,7.0, 1.0
Karma,6.75, 2.0
Thursday,8.5, 1.0
Era,5.0, 2.0
No�l,8.222222222222223, 3.0
spettro,7.0, 1.0
Window,7.243421052631578, 6.0
Score,6.3478260869565215, 2.0
October,8.196924603174603, 3.0
UFOs,10.0, 1.0
Privychka,2.0, 1.0
Boulevard,6.5, 2.0
Meathook,10.0, 1.0
Beetle,8.416666666666666, 1.0
Trnen,10.0, 1.0
ist,6.75, 4.0
Siege,5.969696969696969, 5.0
Mexico,4.4375, 2.0
commence,6.75, 2.0
Asphalt,9.0, 1.0
ita,7.0, 2.0
Seddok,3.0, 1.0
Bernie,6.770491803278688, 1.0
gro�e,9.0, 1.0
Scoop,7.133333333333334, 1.0
Barbe,7.0, 1.0
Notebook,8.045045045045043, 1.0
Ri-teon,6.0, 1.0
Clips,5.0, 1.0
Mannan,2.0, 1.0
Mosquito,8.0, 2.0
Dementia,8.0, 1.0
Baran,9.0, 1.0
Ging,8.0, 1.0
Gekijouban,10.0, 4.0
Money,6.644004869495066, 18.0
fichissimi,5.0, 1.0
Barah,5.0, 1.0
Voskhozhdeniye,9.0, 1.0
metabolism,6.0, 1.0
Danger,6.5227272727272725, 4.0
Began,6.882352941176471, 1.0
Deine,7.0, 1.0
Lempreinte,7.0, 1.0
Sessions,7.440677966101695, 1.0
Harolds,7.666666666666667, 1.0
Dealin,6.333333333333333, 1.0
Karla,4.0, 1.0
ignoranti,8.0, 1.0
cauchemar,6.5, 1.0
Barda,10.0, 1.0
Upon,6.6811965811965806, 10.0
Married,6.01031746031746, 9.0
Crossing,7.175000000000001, 4.0
Renee,6.0, 1.0
Krishna,5.0, 1.0
Eva,6.5, 4.0
No.7,9.222222222222221, 1.0
Ones,7.418516355140187, 6.0
Eve,7.263659147869674, 7.0
Jovens,6.3, 1.0
Etz,7.333333333333333, 1.0
prix,6.6, 2.0
violenta,5.0, 2.0
minutter,7.0, 1.0
Bizim,7.0, 1.0
Painajainen,1.0, 1.0
Ett,10.0, 1.0
Pamplona,9.0, 1.0
Sinbad,7.866666666666667, 3.0
Ishqiya,7.5, 1.0
hasha,10.0, 1.0
Follies,8.0, 1.0
Scout,6.136363636363637, 2.0
Eyvah,7.333333333333333, 1.0
Gise,5.0, 1.0
Mondo,4.0, 1.0
Barfi,8.391304347826086, 1.0
iru,7.0, 2.0
9/11,7.5, 1.0
Kaazhcha,8.0, 1.0
Material,9.11111111111111, 2.0
iro,3.0, 1.0
isi,7.0, 1.0
Girl,7.0392410680047774, 68.0
Karoo,8.0, 1.0
Biblioth�que,7.5, 1.0
Once,6.897410662116544, 17.0
Airbender,5.551724137931035, 1.0
Karol,6.5, 2.0
Demented,6.0, 1.0
Scots,9.0, 1.0
Scott,7.939759036144581, 1.0
Rapture-Palooza,5.333333333333333, 1.0
Drog�wka,6.0, 1.0
Guadalcanal,8.0, 1.0
Noobz,7.125, 1.0
Such�mubi,9.0, 1.0
Scum,7.125, 2.0
Hilarious,8.0, 1.0
Lakposhtha,8.222222222222221, 1.0
Sherlock,6.4786211258697035, 9.0
Cajun,6.5, 2.0
Pathology,5.2, 1.0
Benvenuto,6.75, 1.0
Gymnasl�rer,6.0, 1.0
Players,7.0, 3.0
zero,6.466666666666667, 5.0
Muppets,8.09404761904762, 3.0
Benvenuti,6.0, 2.0
Exhibit,7.0, 2.0
Hasret,7.0, 1.0
Sneakers,7.8, 1.0
Naalu,4.0, 1.0
Weight,5.5, 2.0
Jiseul,6.0, 1.0
Ein,6.25, 4.0
Arrival,4.3, 2.0
Dancin,8.0, 1.0
Hostel,6.033653846153847, 2.0
J�ryoku,7.0, 1.0
lnger,5.0, 1.0
Cleanskin,6.315789473684211, 1.0
Mindscape,8.0, 1.0
Lionheart,6.25, 1.0
Hidden,6.305555555555556, 6.0
Lughnasa,8.0, 1.0
Ehe,8.0, 1.0
Eugene,7.0, 1.0
Navigator,8.541666666666668, 2.0
Reversal,7.5, 1.0
Dolittle,5.833333333333334, 2.0
Fucking,6.866666666666667, 3.0
Gintama,10.0, 1.0
Snogging,7.0, 1.0
Give,6.763813594662219, 8.0
Abbotts,7.0, 1.0
Elf,7.520833333333333, 1.0
Lours,8.0, 1.0
brylluppet,8.166666666666668, 1.0
ninjatroppen,4.0, 1.0
Ekk,5.0, 1.0
proi,6.0, 2.0
Haunter,6.394736842105263, 1.0
Loura,7.0, 1.0
Haunted,5.80820695807315, 6.0
Miralda,7.0, 1.0
Collection,6.149425287356322, 1.0
Otona,9.0, 1.0
Celeste,6.941176470588235, 1.0
Reloaded,8.52857142857143, 2.0
Dangerous,7.144412878787879, 12.0
Poppins,8.45945945945946, 1.0
drap,8.0, 1.0
Tomar,7.0, 1.0
K�rlighed,7.0, 1.0
Poorer,7.0, 1.0
Pulling,7.833333333333334, 2.0
Papita,5.666666666666667, 1.0
Brestskaya,7.75, 1.0
violenza,8.0, 1.0
Confidence,7.333333333333333, 1.0
End,6.687046706216474, 31.0
Bagger,7.25, 1.0
Vintners,9.0, 1.0
Remember,7.642988982013373, 5.0
Zero,6.753157464536202, 14.0
Agnes,10.0, 1.0
Azhiyatha,6.0, 1.0
Babysitting,8.5, 1.0
Magnum,7.875, 1.0
Onna,6.833333333333334, 2.0
Lakes,7.0, 1.0
bitteren,10.0, 1.0
Chronicle,7.166666666666667, 1.0
Dancer,7.15, 5.0
Lakey,7.0, 1.0
Honey,6.066666666666666, 9.0
Triumph,6.5, 3.0
masnaa,9.0, 1.0
Afters,6.0, 1.0
Turistas,6.0, 1.0
Fucked,10.0, 1.0
suru,9.0, 1.0
Only,7.056859583486351, 16.0
voladores,6.0, 1.0
Uncertainty,4.0, 1.0
g�zel,8.0, 1.0
Zendegi-e,3.0, 1.0
calavera,8.0, 1.0
Ob�lix,6.416666666666666, 2.0
Eli,7.203389830508475, 1.0
Elm,5.986979259789022, 5.0
Anomali,6.333333333333333, 1.0
Puffy,7.2, 1.0
Foxes,8.5, 3.0
Original,7.906666666666668, 5.0
Tagebuch,9.0, 1.0
Orphan,7.3023255813953485, 1.0
cerise,6.0, 1.0
Narradores,8.0, 1.0
makina,7.0, 1.0
ugoku,8.512820512820513, 1.0
Topsy-Turvy,10.0, 1.0
Unicorn,6.333333333333333, 2.0
Dances,6.888888888888889, 2.0
Climate,10.0, 1.0
macchina,10.0, 1.0
Enu,7.0, 1.0
Chichi,8.0, 1.0
OClock,8.766666666666667, 3.0
Enn,7.0, 1.0
Hellfighters,7.5, 1.0
Keith,5.863492063492064, 3.0
liikemaailmassa,7.0, 1.0
Philomena,7.978328173374615, 1.0
Fleet,6.927083333333334, 2.0
Stromboli,8.333333333333334, 1.0
Phasee,6.777777777777778, 1.0
Cross,6.185897435897436, 4.0
Gorko,6.888888888888889, 1.0
kiz,7.0, 1.0
Busy,9.0, 1.0
Frankie,6.866666666666667, 3.0
Bust,7.0, 1.0
Louis,7.595238095238095, 7.0
Shell,7.583333333333333, 3.0
Rings,8.304984892548175, 5.0
Ringu,7.0, 3.0
Joneses,6.5, 1.0
Isso,9.0, 1.0
Kommand?r,4.0, 1.0
impresa,6.333333333333333, 1.0
Firefox,7.666666666666667, 1.0
Farmers,5.5, 1.0
Andersen.,6.0, 1.0
giovent�,9.0, 1.0
Muriels,7.333333333333333, 1.0
Lobola,6.5, 1.0
Butt,6.0, 1.0
Parterapi,3.0, 1.0
viaja,10.0, 1.0
suoi,10.0, 1.0
Bulldog,5.0, 1.0
Warning,5.125, 4.0
s�p�,10.0, 1.0
Bethlehem,7.0, 1.0
Chauffeur,6.0, 1.0
Patch,9.0, 2.0
Illusions,4.375, 2.0
Nnoho,8.0, 1.0
Dahlia,5.944444444444444, 3.0
Rawhead,4.5, 1.0
Kontroll,5.0, 1.0
Norowareta,8.0, 1.0
Draughtsmans,9.0, 1.0
Grease,7.282467532467533, 2.0
Svecenikova,3.0, 1.0
Pranzo,5.0, 1.0
Himmel,7.388888888888889, 3.0
objet,7.5, 1.0
Rhine,10.0, 1.0
Stonewall,9.0, 2.0
Geu,8.0, 1.0
Chevalier,8.857142857142858, 1.0
Get,7.074489041260537, 24.0
Gen,9.5, 2.0
Jeffrey,7.833333333333333, 2.0
Addicted,6.666666666666667, 1.0
Elvis,8.642857142857142, 7.0
Taiwan,9.0, 1.0
Nihon,6.5, 2.0
Noose,7.5, 1.0
Pointe,8.090909090909092, 1.0
gattopardo,9.666666666666666, 1.0
kyten,7.2, 1.0
Lambs,8.012411347517732, 2.0
olacak,8.0, 1.0
Grupo,5.666666666666667, 1.0
kei,6.0, 1.0
Midsummer,7.083333333333334, 2.0
Fouries,6.5, 1.0
ken,7.0, 3.0
Junpaku,6.0, 1.0
coup,6.5, 1.0
$20,4.0, 1.0
Border,9.0, 3.0
Outlaw,6.166666666666667, 4.0
Crowd,7.5227272727272725, 4.0
Tulip,8.0, 1.0
Played,7.5, 1.0
Crooked,10.0, 1.0
cristal,6.0, 1.0
Crown,5.258333333333333, 2.0
Brokedown,7.0, 1.0
Beslan,8.0, 1.0
Honor,7.863478260869566, 10.0
Creature,6.666666666666667, 4.0
Crows,5.0, 1.0
Paths,8.5, 1.0
Larm�e,5.611111111111112, 3.0
Desperadoes,6.0, 1.0
Jayenge,8.666666666666666, 1.0
U.S.A,9.0, 1.0
Kurtulus,6.5, 1.0
Fountain,8.095238095238095, 1.0
Colditz,7.0, 1.0
$5,7.0, 1.0
Qi-Er,7.0, 1.0
Rinne,6.0, 1.0
salut,3.5, 1.0
MASH,7.5, 1.0
Manors,7.266666666666667, 1.0
Shesh,9.0, 1.0
Talaash,8.05, 1.0
Mis�rables,8.535359272933817, 2.0
Gin,6.0, 4.0
p�,7.2, 5.0
Meat,3.555555555555556, 5.0
X-Ray,10.0, 1.0
Shah-re,7.5, 1.0
Git,7.0, 1.0
Comandante,7.0, 1.0
suis,7.0, 1.0
Flightplan,6.8, 1.0
Mean,6.857072829131652, 4.0
Hustler,8.875, 1.0
Chickadee,2.0, 1.0
Kuchu,7.5, 1.0
Mubeopja,4.0, 1.0
Tonto,8.333333333333334, 1.0
InchAllah,7.666666666666667, 1.0
Sheitan,8.0, 1.0
waak,4.0, 1.0
Meeting,5.333333333333333, 1.0
Himself,9.0, 1.0
Phasma,6.0, 1.0
Jagged,7.0, 1.0
Scar,9.0, 1.0
hemlighet,6.0, 1.0
Mubangbi-dosi,7.0, 1.0
Sightseers,6.979591836734694, 1.0
diables,8.0, 2.0
Burrowers,4.0, 1.0
fundo,7.0, 1.0
+1,5.777777777777778, 1.0
Ziemia,8.0, 1.0
Sizzles,9.0, 1.0
Ro-maen-seu,8.0, 1.0
Kaspar,9.0, 1.0
Soi-l�t-daa-laen,2.0, 1.0
Player,7.888888888888888, 3.0
Elefante,5.833333333333333, 1.0
Sensation,8.0, 1.0
jet�e,9.0, 1.0
Andromeda,8.0, 2.0
ykoso,8.0, 1.0
Zugarramurdi,6.647058823529412, 1.0
Isle,5.309523809523809, 3.0
Ulisse,7.0, 1.0
Karen,5.0, 1.0
koi,10.0, 1.0
Waves,7.75, 4.0
Maskerade,4.0, 1.0
koe,8.5, 1.0
Dunham,10.0, 1.0
Indig�nes,8.0, 1.0
Whorehouse,9.0, 1.0
Magic,7.421272801272801, 15.0
seinaru,8.0, 1.0
Ne-beu-en-ding-seu-to-ri,8.0, 1.0
Capsule,6.0, 1.0
Killshot,6.8, 1.0
Extremely,7.035106382978723, 2.0
Nebraska,8.008498583569406, 1.0
RocknRolla,7.54054054054054, 1.0
Attr,7.162962962962962, 3.0
Qissa,8.0, 1.0
deserto,9.0, 1.0
soigne,7.0, 1.0
tigre,7.4, 1.0
Penelope,6.5, 1.0
douce,7.0, 1.0
Zavallilar,9.0, 1.0
Shutter,7.480978260869564, 2.0
Tarnation,8.0, 1.0
Gertrud,9.5, 1.0
Boksuneun,6.833333333333333, 1.0
.7,2.0, 1.0
dalle,6.666666666666667, 1.0
Changsoo,4.0, 1.0
dalla,1.0, 1.0
eres,2.0, 1.0
Watchmen,7.883116883116885, 1.0
Breathless,6.0, 1.0
Cooley,8.5, 1.0
Chugyeogja,7.857142857142857, 1.0
Cooler,8.0, 1.0
Burning,7.8583333333333325, 9.0
Creole,5.0, 1.0
suda,8.0, 1.0
EuroTrip,7.0, 1.0
Borealis,7.0, 1.0
Breaking,6.56641651031895, 13.0
Casanova,7.375, 2.0
Chest,6.904255319148936, 2.0
Albino,6.0, 1.0
Waydowntown,9.0, 1.0
Chess,6.615384615384615, 1.0
Persepolis,8.4375, 1.0
Cleanflix,8.0, 1.0
Warlock,5.0, 2.0
verano,6.0, 1.0
Hitchhikers,7.633333333333334, 1.0
Youngistaan,6.0, 1.0
Gap,7.0, 1.0
Gan,10.0, 1.0
Flamingos,7.25, 2.0
largas,7.909090909090909, 1.0
Highlander,4.475, 4.0
Gay,4.666666666666667, 3.0
Hist�ria,10.0, 1.0
Gaw,7.0, 1.0
Onigamiden,6.0, 1.0
Dabba,7.866666666666666, 1.0
Strings,6.609195402298851, 2.0
Winterbourne,10.0, 1.0
Needs,7.9, 2.0
--,5.0, 1.0
Tulpa,4.0, 1.0
D�as,6.0, 1.0
suay,9.0, 1.0
Dabbe,7.5, 1.0
Tirador,10.0, 1.0
Special,7.755050505050505, 6.0
zhuan,6.0, 2.0
Fut,8.0, 1.0
36,7.5, 2.0
33,6.777777777777778, 1.0
39,6.091428571428572, 3.0
Fur,7.0, 1.0
38,5.0, 1.0
43,4.258883248730961, 1.0
Gabriel,7.5, 1.0
42,7.780844155844151, 2.0
40,6.103940630153633, 6.0
klev,7.222222222222222, 1.0
Nema-ye,9.6, 1.0
Dungeon,5.0, 1.0
3D,5.4867666834920055, 33.0
Clinic,5.666666666666667, 1.0
Maxima,7.0, 1.0
3G,2.0, 1.0
Haeundae,6.0, 1.0
Trois,7.573039215686276, 4.0
22,5.0, 1.0
Blackmail,8.0, 1.0
Believer,8.375, 2.0
23,7.447916666666667, 3.0
24,6.0555555555555545, 6.0
25,8.0, 3.0
26,6.0, 1.0
27,7.5, 2.0
28,7.625555555555556, 5.0
Campaign,6.084033613445376, 1.0
bord,5.0, 1.0
Fun,5.391673628515734, 7.0
Fuk,4.5, 1.0
Buck,6.96875, 4.0
30,5.760651629072682, 8.0
Gleaming,8.0, 1.0
32,4.0, 1.0
31,5.5, 2.0
Cheer,7.0, 2.0
Higher,8.166666666666668, 2.0
19,5.036363636363635, 1.0
17,8.125159642401021, 6.0
nette,2.0, 1.0
18,5.5, 2.0
15,5.833333333333333, 6.0
16,6.6875, 2.0
Ambassadors,10.0, 1.0
13,7.271103481438016, 20.0
14,7.5, 2.0
11,7.875, 4.0
12,6.9021896779661756, 7.0
21,7.301593901593902, 5.0
20,6.51111111111111, 3.0
Um...,5.0, 1.0
Ikigami,9.0, 1.0
Evans,4.0, 1.0
abrazos,7.555555555555555, 1.0
Lamant,8.666666666666666, 1.0
Pokemon,9.333333333333334, 1.0
Hooch,6.7, 1.0
sengo,8.0, 1.0
Hoods,10.0, 1.0
boss,6.0, 1.0
Fry,8.0, 1.0
05,10.0, 1.0
juk,6.25, 1.0
Lotus,7.0, 1.0
Dumber,8.465116279069768, 1.0
Doghouse,5.5, 1.0
10,6.261148046442164, 11.0
Gambling,6.0, 1.0
danchi,6.0, 1.0
Dekigokoro,9.0, 1.0
Assumption,7.666666666666667, 1.0
Itim,7.0, 1.0
79,7.0, 1.0
77,6.0, 1.0
Troll,5.909090909090909, 2.0
proph�te,8.25, 1.0
ferragosto,5.0, 1.0
Fletch,7.166666666666666, 2.0
80,5.866666666666667, 3.0
Cuore,7.0, 1.0
Chithiram,8.0, 1.0
84,8.5, 1.0
Current,9.0, 1.0
66,7.5, 1.0
69,7.5, 2.0
orsi,6.0, 1.0
68,10.0, 1.0
Anchors,10.0, 1.0
Todays,8.0, 1.0
Believin,7.5, 1.0
Outpost,5.722222222222222, 3.0
bout,7.531944444444445, 4.0
Atla,8.5, 1.0
senki,6.666666666666667, 1.0
Babaing,5.0, 1.0
Lotta,5.0, 1.0
Trespass,5.403846153846153, 2.0
Slither,6.1875, 1.0
73,7.0, 1.0
Bugs,7.785714285714286, 1.0
princes,7.0, 1.0
Moody,4.0, 1.0
57,7.0, 1.0
56,5.5, 2.0
Playback,4.5, 1.0
Cellar,3.0, 1.0
Karenina,6.442622950819672, 1.0
Warriors,5.886160714285714, 8.0
Ator,1.0, 1.0
Kingu,7.666666666666667, 3.0
Willard,7.5, 1.0
Kings,7.49946279065053, 18.0
Borgman,7.45, 1.0
64,8.0, 1.0
Upstream,8.10576923076923, 2.0
62,7.0, 1.0
Cristiada,9.0, 1.0
60,7.644444444444445, 3.0
61,10.0, 1.0
voyages,6.5, 1.0
Minister,8.0, 1.0
49,6.857142857142857, 1.0
Ooga,4.0, 1.0
48,7.3125, 2.0
45,8.222222222222223, 3.0
spenti,5.0, 1.0
44,8.0, 2.0
47,6.63323782234957, 1.0
46,6.6, 1.0
Bienvenue,6.055555555555555, 2.0
Today?,8.0, 1.0
Br�no,6.428571428571429, 1.0
Houseguest,7.0, 1.0
4D,6.8, 1.0
Petropolis,10.0, 1.0
4E,6.5, 1.0
Tatar,10.0, 1.0
51,6.583333333333334, 2.0
fantomu,6.0, 1.0
52,8.0, 1.0
Unfortunate,7.823529411764706, 1.0
lyudey,7.0, 1.0
54,6.625, 2.0
Soekarno,8.0, 1.0
goong,7.0, 1.0
50,3.0641891891891895, 4.0
damat,7.0, 1.0
Hobo,6.115384615384615, 1.0
Sheep,5.0, 1.0
espinazo,7.636363636363637, 1.0
Bull,8.114814814814816, 5.0
D�moni,5.8125, 2.0
Ghte,8.0, 1.0
Tropa,8.188311688311686, 2.0
osvetleni,6.0, 1.0
tracce,8.0, 1.0
Bulb,9.0, 1.0
Bula,2.0, 1.0
Skull,7.0588235294117645, 2.0
Talaye,9.0, 1.0
Hassel,1.0, 1.0
Karega...,4.0, 1.0
Wassup,6.0, 1.0
Z�ro,8.0, 1.0
Mogura,6.0, 1.0
kau,6.25, 1.0
Sultanes,5.0, 1.0
Highland,5.5, 1.0
Yolki,4.5, 2.0
kao,9.0, 1.0
Starlet,7.363636363636363, 1.0
Royale,7.9, 1.0
Hoax,7.15, 2.0
kai,7.0, 2.0
Fly,6.5395408163265305, 8.0
Broomsticks,8.0, 1.0
crociate,7.0, 1.0
ware,9.0, 1.0
-2012,6.0, 1.0
boia,5.0, 1.0
pu�,8.0, 1.0
Iguana,8.0, 1.0
Kehna,6.5, 2.0
Bunnyman,4.0, 1.0
traces,8.0, 1.0
wang,7.416666666666667, 4.0
Atlantide,9.0, 1.0
Pr�te-moi,7.0, 1.0
Pacific,7.335052549630206, 7.0
Zivot,8.666666666666666, 1.0
Buna,6.0, 1.0
99,6.875, 2.0
d�a,5.611111111111111, 3.0
Pounds,8.02898550724638, 1.0
Teddy,8.333333333333334, 1.0
97,4.0, 1.0
96,5.8, 1.0
Superbabies,4.4, 1.0
93,8.150000000000002, 1.0
92,9.146341463414634, 1.0
Foster,8.65, 2.0
Congress,6.714285714285714, 1.0
90,7.0, 1.0
Ville,10.0, 1.0
Lunch,6.214285714285714, 2.0
